1989;;;Colocações finais;;1990;;;;;1991;;;;;1992;;;;;1993;;;;;1994;;;;;;;;;
;Novo Hamburgo;Campeão da Copa FGF 2013;;;;;;;;;;;Lajeadense;Campeão da Copa FGF de 2014;;;;;;;;;;;;;;;;;;;;
 Rondônia;Vilhena;Campeão do Estadual 2013;;;;;;;;;; Rondônia;Vilhena;Campeão do Estadual 2014;;;;;;;;;;;;;;;;;;;;
 Roraima;Náutico-RR;Campeão do Estadual 2013;;;;;;;;;; Roraima;São Raimundo-RR;Campeão do Estadual 2014;;;;;;;;;;;;;;;;;;;;
 Santa Catarina;Criciúma;Campeão do Estadual 2013;;;;;;;;;; Santa Catarina;Figueirense;Campeão do Estadual 2014;;;;;;;;;;;;;;;;;;;;
;Chapecoense;Vice-campeão do Estadual 2013;;;;;;;;;;;Joinville;Vice-campeão do Estadual 2014;;;;;;;;;;;;;;;;;;;;
;Joinville;Campeão da Copa Santa Catarina 2013;;;;;;;;;;;Chapecoense;Campeão da Taça de Santa Catarina de 2014;;;;;;;;;;;;;;;;;;;;
 São Paulo;Corinthians;Campeão do Estadual 2013;;;;;;;;;; São Paulo;Ituano;Campeão do Estadual 2014;;;;;;;;;;;;;;;;;;;;
;Santos;Vice-campeão do Estadual 2013;;;;;;;;;;;Santos;Vice-campeão do Estadual 2014;;;;;;;;;;;;;;;;;;;;
;São Paulo;3º colocado do Estadual 2013;;;;;;;;;;;Palmeiras;3º colocado do Estadual 2014;;;;;;;;;;;;;;;;;;;;
;Portuguesa;Campeão da Série A2 do Estadual 2013;;;;;;;;;;;Capivariano;Campeão da Série A2 do Estadual 2014;;;;;;;;;;;;;;;;;;;;
;São Bernardo;Campeão da Copa Paulista 2013;;;;;;;;;;;Santo André;Campeão da Copa Paulista 2014;;;;;;;;;;;;;;;;;;;;
 Sergipe;Sergipe;Campeão do Estadual 2013;;;;;;;;;; Sergipe;Confiança;Campeão do Estadual 2014;;;;;;;;;;;;;;;;;;;;
;Lagarto[c];3° colocado da Copa Governo do Estado de Sergipe de 2013;;;;;;;;;;;Amadense;Campeão da Copa Governo do Estado de Sergipe de 2014;;;;;;;;;;;;;;;;;;;;
 Tocantins;Interporto;Campeão do Estadual 2013;;;;;;;;;; Tocantins;Interporto;Campeão do Estadual 2014;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2016;;;;;;;;;;;;2017;;;;;;;;;;;;;;;;;;;;;
;UF;Clube;Forma de classificação;Pos.;Clube;Pontos;UF;Clube;Forma de classificação;Colocações finais;;;UF;Clube;Forma de classificação;Pos.;Clube;Pontos;UF;Clube;Forma de classificação;Colocações finais;;;;;;;;;;;;
; Acre;Rio Branco-AC;Campeão do Estadual 2015;12º; Atlético Paranaense;11 218; São Paulo;Corinthians;Campeão do Campeonato Brasileiro 2015;Campeão;Grêmio (5º título);; Acre;Atlético Acreano;Campeão do Estadual 2016;8º; São Paulo;12 430; Goiás;Atlético Goianiense;Campeão da Série B 2016[16];Campeão;Cruzeiro (5º título);;;;;;;;;;;
;;Galvez;Vice-campeão do Estadual 2015;20º; Vitória;7 166;;Palmeiras;Campeão da Copa do Brasil 2015;Vice-campeão;Atlético Mineiro;;;Rio Branco-AC;Vice-campeão do Estadual 2016;15º; Ponte Preta;9 076; Minas Gerais;Atlético Mineiro;4º colocado do Campeonato Brasileiro 2016;Vice-campeão;Flamengo;;;;;;;;;;;
; Alagoas;CRB;Campeão do Estadual 2015;22º; Criciúma;6 388;;São Paulo;4º colocado do Campeonato Brasileiro 2015;Estatísticas;;; Alagoas;CRB;Campeão do Estadual 2016;23º; Ceará;6 592; Pará;Paysandu;Campeão da Copa Verde 2016[7];Estatísticas;;;;;;;;;;;;
;;Coruripe;Vice-campeão do Estadual 2015;23º; Avaí;6 386; Minas Gerais;Atlético Mineiro;Vice-campeão do Campeonato Brasileiro 2015;Melhor marcador;Marinho (Vitória) – 6 gols;;;CSA;Vice-campeão do Estadual 2016;25º; Avaí;5 894; Paraná;Atlético Paranaense;6º colocado do Campeonato Brasileiro 2016;Melhor marcador;5 gols: Léo Gamalho (Goiás);;;;;;;;;;;
;;ASA;Campeão da primeira fase do Estadual 2015;25º; Náutico;6 139; Rio Grande do Sul;Grêmio;3º colocado do Campeonato Brasileiro 2015;Maior goleada;Londrina 6–0 Parauapebas;;;Murici;3º colocado do Estadual 2016;32º; Bragantino;5 020; Pernambuco;Santa Cruz;Campeão da Copa do Nordeste 2016[7];;Lucas Barrios (Grêmio);;;;;;;;;;;
; Amapá;Santos-AP;Campeão do Estadual 2015;28º; Atlético Goianiense;5 386;;Internacional;5º colocado do Campeonato Brasileiro 2015;(diferença);;; Amapá;Santos-AP;Campeão do Estadual 2016;39º; Portuguesa;3 887; Rio de Janeiro;Flamengo;3º colocado do Campeonato Brasileiro 2016;;Rafael Sóbis (Cruzeiro);;;;;;;;;;;
; Amazonas;Nacional-AM;Campeão do Estadual 2015;30º; Paysandu;5 268;;;;;;; Amazonas;Fast Clube;Campeão do Estadual 2016;41º; Boa Esporte;3 586;;Botafogo;5º colocado do Campeonato Brasileiro 2016;Maior goleada;Cruzeiro 6–0 São Francisco-PA;;;;;;;;;;;
;;Princesa do Solimões;Vice-campeão do Estadual 2015;32º; Portuguesa;5 095;;;;;;;;Princesa do Solimões;Vice-campeão do Estadual 2016;42º; Oeste;3 468; Rio Grande do Sul;Grêmio;Campeão da Copa do Brasil 2016;(diferença);Estádio Mineirão, Belo Horizonte;;;;;;;;;;;
; Bahia;Bahia;Campeão do Estadual 2015;33º; Bragantino;4 984;;;;;;; Bahia;Vitória;Campeão do Estadual 2016;43º; ASA;3 370; Santa Catarina;Chapecoense;Campeão da Copa Sul-Americana de 2016[17][18];;22 de fevereiro, 2ª fase;;;;;;;;;;;
;;Vitória da Conquista;Vice-campeão do Estadual 2015;34º; Paraná;4 676;;;;;;;;Bahia;Vice-campeão do Estadual 2016;45º; Londrina;2 993; São Paulo;Palmeiras;Campeão do Campeonato Brasileiro 2016;Público;562 764 (6 252,9 por partida);;;;;;;;;;;
;;Juazeirense;Vice-campeão da Copa Governador do Estado da Bahia de 2015;;;;;;;;;;;Vitória da Conquista;Campeão da Copa Governador do Estado da Bahia de 2016;;;;;Santos;Vice-campeão do Campeonato Brasileiro 2016;Premiações;;;;;;;;;;;;
; Ceará;Fortaleza;Campeão do Estadual 2015;;;;;;;;;; Ceará;Fortaleza;Campeão do Estadual 2016;;;;;;;Melhor jogador;Diego Ribas (Flamengo) [3];;;;;;;;;;;
;;Ceará;Vice-campeão do Estadual 2015;;;;;;;;;;;Uniclinic;Vice-campeão do Estadual 2016;;;;;;;Melhor goleiro;Gatito Fernández (Botafogo)[4];;;;;;;;;;;
;;Guarany de Sobral;Campeão da Copa Fares Lopes de 2015;;;;;;;;;;;Guarani de Juazeiro;Campeão da Copa Fares Lopes de 2016;;;;;;;;;;;;;;;;;;;
; Distrito Federal;Gama;Campeão do Metropolitano 2015;;;;;;;;;; Distrito Federal;Luziânia;Campeão do Metropolitano 2016;;;;;;;;;;;;;;;;;;;
;;Brasília;Vice-campeão do Metropolitano 2015;;;;;;;;;;;Ceilândia;Vice-campeão do Metropolitano 2016;;;;;;;;;;;;;;;;;;;
; Espírito Santo;Rio Branco-ES;Campeão do Estadual 2015;;;;;;;;;; Espírito Santo;Desportiva Ferroviária;Campeão do Estadual 2016;;;;;;;;;;;;;;;;;;;
; Goiás;Goiás;Campeão do Estadual 2015;;;;;;;;;; Goiás;Goiás;Campeão do Estadual 2016;;;;;;;;;;;;;;;;;;;
;;Aparecidense;Vice-campeão do Estadual 2015;;;;;;;;;;;Anápolis;Vice-campeão do Estadual 2016;;;;;;;;;;;;;;;;;;;
;;Goianésia;3º colocado do Estadual 2015;;;;;;;;;;;Vila Nova;4º colocado do Estadual 2016;;;;;;;;;;;;;;;;;;;
; Maranhão;Imperatriz;Campeão do Estadual 2015;;;;;;;;;; Maranhão;Moto Club;Campeão do Estadual 2016;;;;;;;;;;;;;;;;;;;
;;Sampaio Corrêa;Vice-campeão do Estadual 2015;;;;;;;;;;;Sampaio Corrêa;Vice-campeão do Estadual 2016;;;;;;;;;;;;;;;;;;;
; Mato Grosso;Cuiabá;Campeão do Estadual 2015;;;;;;;;;; Mato Grosso;Luverdense;Campeão do Estadual 2016;;;;;;;;;;;;;;;;;;;
;;Operário VG;Vice-campeão do Estadual 2015;;;;;;;;;;;Sinop;Vice-campeão do Estadual 2016;;;;;;;;;;;;;;;;;;;
;;Dom Bosco;Campeão da Copa FMF de 2015;;;;;;;;;;;Cuiabá;Campeão da Copa FMF de 2016;;;;;;;;;;;;;;;;;;;
; Mato Grosso do Sul;Comercial-MS;Campeão do Estadual 2015;;;;;;;;;; Mato Grosso do Sul;Sete de Dourados;Campeão do Estadual 2016;;;;;;;;;;;;;;;;;;;
;;Ivinhema;Vice-campeão do Estadual 2015;;;;;;;;;;;Comercial-MS;Vice-campeão do Estadual 2016;;;;;;;;;;;;;;;;;;;
; Minas Gerais;Caldense;Vice-campeão do Estadual 2015;;;;;;;;;; Minas Gerais;América Mineiro;Campeão do Estadual 2016;;;;;;;;;;;;;;;;;;;
;;Cruzeiro;3° colocado do Estadual 2015;;;;;;;;;;;Cruzeiro;3º colocado do Estadual 2016;;;;;;;;;;;;;;;;;;;
;;Tombense;4º colocado do Estadual 2015;;;;;;;;;;;URT;4° colocado do Estadual 2016;;;;;;;;;;;;;;;;;;;
;;América Mineiro;5º colocado do Estadual 2015;;;;;;;;;;;Caldense;5° colocado do Estadual 2016;;;;;;;;;;;;;;;;;;;
; Pará;Remo;Campeão do Estadual 2015;;;;;;;;;; Pará;São Francisco-PA;Vice-campeão do Estadual 2016;;;;;;;;;;;;;;;;;;;
;;Independente-PA;Vice-campeão do Estadual 2015;;;;;;;;;;;São Raimundo-PA;3º colocado do Estadual 2016;;;;;;;;;;;;;;;;;;;
;;Parauapebas;3º colocado do Estadual 2015;;;;;;;;;;;Remo;4º colocado do Estadual 2016;;;;;;;;;;;;;;;;;;;
; Paraíba;Campinense;Campeão do Estadual 2015;;;;;;;;;; Paraíba;Campinense;Campeão do Estadual 2016;;;;;;;;;;;;;;;;;;;
;;Botafogo-PB;Vice-campeão do Estadual 2015;;;;;;;;;;;Botafogo-PB;Vice-campeão do Estadual 2016;;;;;;;;;;;;;;;;;;;
; Paraná;Operário-PR;Campeão do Estadual 2015;;;;;;;;;; Paraná;Coritiba;Vice-campeão do Estadual 2016;;;;;;;;;;;;;;;;;;;
;;Coritiba;Vice-campeão do Estadual 2015;;;;;;;;;;;Paraná;3º colocado do Estadual 2016;;;;;;;;;;;;;;;;;;;
;;Londrina;3º colocado do Estadual 2015;;;;;;;;;;;PSTC;4º colocado do Estadual 2016;;;;;;;;;;;;;;;;;;;
; Pernambuco;Santa Cruz;Campeão do Estadual 2015;;;;;;;;;; Pernambuco;Sport;Vice-campeão do Estadual 2016;;;;;;;;;;;;;;;;;;;
;;Salgueiro;Vice-campeão do Estadual 2015;;;;;;;;;;;Náutico;3º colocado do Estadual 2016;;;;;;;;;;;;;;;;;;;
;;Sport;3º colocado do Estadual 2015;;;;;;;;;;;Salgueiro;4º colocado do Estadual 2016;;;;;;;;;;;;;;;;;;;
; Piauí;River-PI;Campeão do Estadual 2015;;;;;;;;;; Piauí;River-PI;Campeão do Estadual 2016;;;;;;;;;;;;;;;;;;;
;;Parnahyba;Campeão da Copa Piauí de 2015;;;;;;;;;;;Altos;Vice-campeão do Estadual 2016;;;;;;;;;;;;;;;;;;;
; Rio de Janeiro;Vasco da Gama;Campeão do Estadual 2015;;;;;;;;;; Rio de Janeiro;Vasco da Gama;Campeão do Estadual 2016;;;;;;;;;;;;;;;;;;;
;;Botafogo;Vice-campeão do Estadual 2015;;;;;;;;;;;Fluminense;3º colocado do Estadual 2016;;;;;;;;;;;;;;;;;;;
;;Flamengo;3º colocado do Estadual 2015;;;;;;;;;;;Volta Redonda;5º colocado do Estadual 2016[14];;;;;;;;;;;;;;;;;;;
;;Fluminense;4º colocado do Estadual 2015;;;;;;;;;;;Boavista;6º colocado do Estadual 2016;;;;;;;;;;;;;;;;;;;
;;Resende;Campeão da Copa Rio 2015;;;;;;;;;;;Friburguense;Vice-campeão da Copa Rio 2016;;;;;;;;;;;;;;;;;;;
; Rio Grande do Norte;América de Natal;Campeão do Estadual 2015;;;;;;;;;; Rio Grande do Norte;ABC;Campeão do Estadual 2016;;;;;;;;;;;;;;;;;;;
;;ABC;Vice-campeão do Estadual 2015;;;;;;;;;;;América de Natal;Vice-campeão do Estadual 2016;;;;;;;;;;;;;;;;;;;
;;Globo;3° colocado do Estadual 2015;;;;;;;;;;;Globo;3° colocado do Estadual 2016;;;;;;;;;;;;;;;;;;;
; Rio Grande do Sul;Brasil de Pelotas;3º colocado do Estadual 2015;;;;;;;;;; Rio Grande do Sul;Internacional;Campeão do Estadual 2016;;;;;;;;;;;;;;;;;;;
;;Juventude;4º colocado do Estadual 2015;;;;;;;;;;;Juventude;Vice-campeão do Estadual 2016;;;;;;;;;;;;;;;;;;;
;;Ypiranga de Erechim;5º colocado do Estadual 2015;;;;;;;;;;;São José-RS;4º colocado do Estadual 2016;;;;;;;;;;;;;;;;;;;
;;Lajeadense;Campeão da Copa FGF de 2015;;;;;;;;;;;Ypiranga de Erechim;Vice-campeão da Super Copa Gaúcha 2016;;;;;;;;;;;;;;;;;;;
; Rondônia;Genus;Campeão do Estadual 2015;;;;;;;;;; Rondônia;Rondoniense;Campeão do Estadual 2016;;;;;;;;;;;;;;;;;;;
; Roraima;Náutico-RR;Campeão do Estadual 2015;;;;;;;;;; Roraima;São Raimundo-RR;Campeão do Estadual 2016;;;;;;;;;;;;;;;;;;;
; Santa Catarina;Figueirense;Campeão do Estadual 2015;;;;;;;;;; Santa Catarina;Joinville;Vice-campeão do Estadual 2016;;;;;;;;;;;;;;;;;;;
;;Joinville;Vice-campeão do Estadual 2015;;;;;;;;;;;Criciúma;3º colocado do Estadual 2016;;;;;;;;;;;;;;;;;;;
;;Chapecoense;3º colocado do Estadual 2015;;;;;;;;;;;Figueirense;4º colocado do Estadual 2016;;;;;;;;;;;;;;;;;;;
;;Inter de Lages;4º colocado do Estadual 2015;;;;;;;;;;;Brusque;5º colocado do Estadual 2016;;;;;;;;;;;;;;;;;;;
; São Paulo;Santos;Campeão do Estadual 2015;;;;;;;;;; São Paulo;Audax;Vice-campeão do Estadual 2016;;;;;;;;;;;;;;;;;;;
;;Ponte Preta;5º colocado do Estadual 2015;;;;;;;;;;;Corinthians;3º colocado do Estadual 2016;;;;;;;;;;;;;;;;;;;
;;Red Bull Brasil;6º colocado do Estadual 2015;;;;;;;;;;;São Bento;5° colocado do Estadual 2016[15];;;;;;;;;;;;;;;;;;;
;;Ferroviária;Campeão da Série A2 do Estadual 2015;;;;;;;;;;;Santo André;Campeão da Série A2 do Estadual 2016;;;;;;;;;;;;;;;;;;;
;;Linense;Campeão da Copa Paulista 2015;;;;;;;;;;;Ferroviária;Vice-campeão da Copa Paulista 2016;;;;;;;;;;;;;;;;;;;
; Sergipe;Confiança;Campeão do Estadual 2015;;;;;;;;;; Sergipe;Sergipe;Campeão do Estadual 2016;;;;;;;;;;;;;;;;;;;
;;Estanciano;Vice-campeão do Estadual 2015;;;;;;;;;;;Itabaiana;Vice-campeão do Estadual 2016;;;;;;;;;;;;;;;;;;;
; Tocantins;Tocantinópolis;Campeão do Estadual 2015;;;;;;;;;; Tocantins;Gurupi;Campeão do Estadual 2016;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;;;;;;;;;;;;2019;;;;;;;;;;;;;;;;;;;;;;
UF;Clube;Forma de classificação;Pos.;Equipe;Pontos;UF;Clube;Forma de classificação;Colocações finais;;;UF;Clube;Forma de classificação;Pos.;Clube;Pontos;UF;Clube;Forma de classificação;Colocações finais;;;;;;;;;;;;;
 Acre;Atlético Acreano;Campeão do Estadual 2017;19º; Figueirense;7 555; Bahia;Bahia;Campeão da Copa do Nordeste 2017;Campeão;Cruzeiro (6.º título);; Acre;Rio Branco-AC;Campeão do Estadual 2018;21º; Avaí;6 394; Ceará;Fortaleza;Campeão da Série B 2018;Campeão;Athletico Paranaense (1º título);;;;;;;;;;;;
;Rio Branco-AC;Vice-campeão do Estadual 2017;20º; Atlético Goianiense;6 698; Mato Grosso;Luverdense;Campeão da Copa Verde 2017;Vice-campeão;Corinthians;;;Galvez;Vice-campeão do Estadual 2018;25º; Atlético Goianiense;6 136; Maranhão;Sampaio Corrêa;Campeão da Copa do Nordeste 2018;Vice-campeão;Internacional;;;;;;;;;;;;
 Alagoas;CRB;Campeão do Estadual 2017;28º; Paraná;5 244; Minas Gerais;Cruzeiro;Campeão da Copa do Brasil 2017;Estatísticas;;; Alagoas;CSA;Campeão do Estadual 2018;28º; Santa Cruz;5 061; Minas Gerais;Cruzeiro;Campeão da Copa do Brasil 2018;Estatísticas;;;;;;;;;;;;;
;CSA;Vice-campeão do Estadual 2017;30º; Joinville;4 805;;América Mineiro;Campeão da Série B 2017;Melhor marcador;4 gols: Gabriel (Santos);;;CRB;Vice-campeão do Estadual 2018;29º; Criciúma;4 521;;Atlético Mineiro;6º colocado do Campeonato Brasileiro 2018;Melhor marcador;5 gols:;;;;;;;;;;;;
;ASA;3º colocado do Estadual 2017;32º; Náutico;4 532; Rio Grande do Sul;Grêmio;Campeão da Copa Libertadores 2017;;Neilton (Vitória);;;ASA;3º colocado do Estadual 2018;30º; Luverdense;4 402; Pará;Paysandu;Campeão da Copa Verde 2018;;Luciano (Fluminense);;;;;;;;;;;;
 Amapá;Santos-AP;Campeão do Estadual 2017;33º; Juventude;4 251; São Paulo;Corinthians;Campeão do Campeonato Brasileiro 2017;;Rômulo (Avaí);; Amapá;Ypiranga-AP;Campeão do Estadual 2018;31º; Juventude;4 327; Rio de Janeiro;Flamengo;Vice-campeão do Campeonato Brasileiro 2018;;Paolo Guerrero (Internacional);;;;;;;;;;;;
 Amazonas;Manaus;Campeão do Estadual 2017;35º; Bragantino;4 113;;Palmeiras;Vice-campeão do Campeonato Brasileiro 2017;Maior goleada;Fluminense 5–0 Salgueiro;; Amazonas;Manaus;Campeão do Estadual 2018;35º; Londrina;4 120; Rio Grande do Sul;Internacional;3º colocado do Campeonato Brasileiro 2018;;Pipico (Santa Cruz);;;;;;;;;;;;
;Nacional-AM;Vice-campeão do Estadual 2017;37º; Oeste;3 817;;Santos;3º colocado do Campeonato Brasileiro 2017;(diferença);;;;Fast Clube;Vice-campeão do Estadual 2018;37º; Oeste;3 869;;Grêmio;4º colocado do Campeonato Brasileiro 2018;Maior goleada;Altos 1–7 Santos;;;;;;;;;;;;
 Bahia;Vitória;Campeão do Estadual 2017;38º; Boa Esporte;3 761; Rio de Janeiro;Flamengo;6º colocado do Campeonato Brasileiro 2017;;;; Bahia;Bahia;Campeão do Estadual 2018;39º; Joinville;3 758; São Paulo;Palmeiras;Campeão do Campeonato Brasileiro 2018;(diferença);;;;;;;;;;;;;
;Fluminense de Feira;3º colocado do Estadual 2017;40º; Londrina;3 707;;Vasco da Gama;7º colocado do Campeonato Brasileiro 2017;;;;;Vitória;Vice-campeão do Estadual 2018;40º; Boa Esporte;3 691;;São Paulo;5º colocado do Campeonato Brasileiro 2018;;;;;;;;;;;;;;
;Vitória da Conquista;4º colocado do Estadual 2017;;;; Santa Catarina;Chapecoense;8º colocado do Campeonato Brasileiro 2017;;;;;Juazeirense;3º colocado do Estadual 2018;;;; Paraná;Athletico Paranaense;Campeão da Copa Sul Americana 2018;;;;;;;;;;;;;;
 Ceará;Ceará;Campeão do Estadual 2017;;;;;;;;;; Ceará;Ceará;Campeão do Estadual 2018;;;;;;;;;;;;;;;;;;;;
;Ferroviário;Vice-campeão do Estadual 2017;;;;;;;;;;;Atlético Cearense;3º colocado do Estadual 2018;;;;;;;;;;;;;;;;;;;;
;Floresta;Campeão da Copa Fares Lopes de 2017;;;;;;;;;;;Ferroviário;Campeão da Copa Fares Lopes de 2018;;;;;;;;;;;;;;;;;;;;
 Distrito Federal;Brasiliense;Campeão do Metropolitano 2017;;;;;;;;;; Distrito Federal;Sobradinho;Campeão do Metropolitano 2018;;;;;;;;;;;;;;;;;;;;
;Ceilândia;Vice-campeão do Metropolitano 2017;;;;;;;;;;;Brasiliense;Vice-campeão do Metropolitano 2018;;;;;;;;;;;;;;;;;;;;
 Espírito Santo;Atlético Itapemirim;Campeão do Estadual 2017;;;;;;;;;; Espírito Santo;Serra;Campeão do Estadual 2018;;;;;;;;;;;;;;;;;;;;
 Goiás;Goiás;Campeão do Estadual 2017;;;;;;;;;; Goiás;Goiás;Campeão do Estadual 2018;;;;;;;;;;;;;;;;;;;;
;Vila Nova;Vice-campeão do Estadual 2017;;;;;;;;;;;Aparecidense;Vice-campeão do Estadual 2018;;;;;;;;;;;;;;;;;;;;
;Aparecidense;3º colocado do Estadual 2017;;;;;;;;;;;Vila Nova;3º colocado do Estadual 2018;;;;;;;;;;;;;;;;;;;;
 Maranhão;Sampaio Corrêa;Campeão do Estadual 2017;;;;;;;;;; Maranhão;Moto Club;Campeão do Estadual 2018;;;;;;;;;;;;;;;;;;;;
;Cordino;Vice-campeão do Estadual 2017;;;;;;;;;;;Imperatriz;Vice-campeão do Estadual 2018;;;;;;;;;;;;;;;;;;;;
 Mato Grosso;Cuiabá;Campeão do Estadual 2017;;;;;;;;;; Mato Grosso;Cuiabá;Campeão do Estadual 2018;;;;;;;;;;;;;;;;;;;;
;Sinop;Vice-campeão do Estadual 2017;;;;;;;;;;;Sinop;Vice-campeão do Estadual 2018;;;;;;;;;;;;;;;;;;;;
;Dom Bosco;3° colocado da Copa FMF de 2017;;;;;;;;;;;Mixto;Campeão da Copa FMF de 2018;;;;;;;;;;;;;;;;;;;;
 Mato Grosso do Sul;Corumbaense;Campeão do Estadual 2017;;;;;;;;;; Mato Grosso do Sul;Operário-MS;Campeão do Estadual 2018;;;;;;;;;;;;;;;;;;;;
;Novo;Vice-campeão do Estadual 2017;;;;;;;;;;;Corumbaense;Vice-campeão do Estadual 2018;;;;;;;;;;;;;;;;;;;;
 Minas Gerais;;;;;;;;;;;; Minas Gerais;América Mineiro;3º colocado do Estadual 2018;;;;;;;;;;;;;;;;;;;;
;Atlético Mineiro;Campeão do Estadual 2017;;;;;;;;;;;Tupi;4º colocado do Estadual 2018;;;;;;;;;;;;;;;;;;;;
;URT;4° colocado do Estadual 2017;;;;;;;;;;;Tombense;5º colocado do Estadual 2018;;;;;;;;;;;;;;;;;;;;
;Caldense;5º colocado do Estadual 2017;;;;;;;;;;;URT;6º colocado do Estadual 2018;;;;;;;;;;;;;;;;;;;;
;Uberlândia;6º colocado do Estadual 2017;;;;;;;;;; Pará;Remo;Campeão do Estadual 2018;;;;;;;;;;;;;;;;;;;;
 Pará;Paysandu;Campeão do Estadual 2017;;;;;;;;;;;Bragantino-PA;3º colocado do Estadual 2018;;;;;;;;;;;;;;;;;;;;
;Remo;Vice-campeão do Estadual 2017;;;;;;;;;;;São Raimundo-PA;4º colocado do Estadual 2018;;;;;;;;;;;;;;;;;;;;
;Independente-PA;3º colocado do Estadual 2017;;;;;;;;;; Paraíba;Botafogo-PB;Campeão do Estadual 2018;;;;;;;;;;;;;;;;;;;;
 Paraíba;Botafogo-PB;Campeão do Estadual 2017;;;;;;;;;;;Campinense;Vice-campeão do Estadual 2018;;;;;;;;;;;;;;;;;;;;
;Treze;Vice-campeão do Estadual 2017;;;;;;;;;; Paraná;Coritiba;Vice-campeão do Estadual 2018;;;;;;;;;;;;;;;;;;;;
 Paraná;Coritiba;Campeão do Estadual 2017;;;;;;;;;;;Foz do Iguaçu;3º colocado do Estadual 2018;;;;;;;;;;;;;;;;;;;;
;Atlético Paranaense;Vice-campeão do Estadual 2017;;;;;;;;;;;Paraná;4º colocado do Estadual 2018;;;;;;;;;;;;;;;;;;;;
;Cianorte;3º colocado do Estadual 2017;;;;;;;;;; Pernambuco;Náutico;Campeão do Estadual 2018;;;;;;;;;;;;;;;;;;;;
 Pernambuco;Sport;Campeão do Estadual 2017;;;;;;;;;;;Central;Vice-campeão do Estadual 2018;;;;;;;;;;;;;;;;;;;;
;Salgueiro;Vice-campeão do Estadual 2017;;;;;;;;;;;Sport;3º colocado do Estadual 2018;;;;;;;;;;;;;;;;;;;;
;Santa Cruz;3º colocado do Estadual 2017;;;;;;;;;; Piauí;Altos;Campeão do Estadual 2018;;;;;;;;;;;;;;;;;;;;
 Piauí;Altos;Campeão do Estadual 2017;;;;;;;;;;;River-PI;Vice-campeão do Estadual 2018;;;;;;;;;;;;;;;;;;;;
;Parnahyba;Vice-campeão do Estadual 2017;;;;;;;;;; Rio de Janeiro;Botafogo;Campeão do Estadual 2018;;;;;;;;;;;;;;;;;;;;
 Rio de Janeiro;Fluminense;Vice-campeão do Estadual 2017;;;;;;;;;;;Vasco da Gama;Vice-campeão do Estadual 2018;;;;;;;;;;;;;;;;;;;;
;Botafogo;4º colocado do Estadual 2017;;;;;;;;;;;Fluminense;4º colocado do Estadual 2018;;;;;;;;;;;;;;;;;;;;
;Nova Iguaçu;5º colocado do Estadual 2017;;;;;;;;;;;Boavista-RJ;5º colocado do Estadual 2018;;;;;;;;;;;;;;;;;;;;
;Madureira;6º colocado do Estadual 2017;;;;;;;;;;;Americano;Campeão da Copa Rio 2018;;;;;;;;;;;;;;;;;;;;
;Boavista-RJ;Campeão da Copa Rio 2017;;;;;;;;;; Rio Grande do Norte;ABC;Campeão do Estadual 2018;;;;;;;;;;;;;;;;;;;;
 Rio Grande do Norte;ABC;Campeão do Estadual 2017;;;;;;;;;;;América de Natal;Vice-campeão do Estadual 2018;;;;;;;;;;;;;;;;;;;;
;Globo;Vice-campeão do Estadual 2017;;;;;;;;;;;Santa Cruz de Natal;3° colocado do Estadual 2018;;;;;;;;;;;;;;;;;;;;
;América de Natal;3° colocado do Estadual 2017;;;;;;;;;; Rio Grande do Sul;Brasil de Pelotas;Vice-campeão do Estadual 2018;;;;;;;;;;;;;;;;;;;;
 Rio Grande do Sul;Novo Hamburgo;Campeão do Estadual 2017;;;;;;;;;;;São José-RS;3° colocado do Estadual 2018;;;;;;;;;;;;;;;;;;;;
;Internacional;Vice-campeão do Estadual 2017;;;;;;;;;;;Avenida;4º colocado do Estadual 2018;;;;;;;;;;;;;;;;;;;;
;Caxias;3º colocado do Estadual 2017;;;;;;;;;;;Ypiranga de Erechim;3º colocado da Copa FGF 2018;;;;;;;;;;;;;;;;;;;;
;Aimoré;Vice-campeão da Copa FGF 2017;;;;;;;;;; Rondônia;Real Ariquemes;Campeão do Estadual 2018;;;;;;;;;;;;;;;;;;;;
 Rondônia;Real Ariquemes;Campeão do Estadual 2017;;;;;;;;;; Roraima;São Raimundo-RR;Campeão do Estadual 2018;;;;;;;;;;;;;;;;;;;;
 Roraima;São Raimundo-RR;Campeão do Estadual 2017;;;;;;;;;; Santa Catarina;Figueirense;Campeão do Estadual 2018;;;;;;;;;;;;;;;;;;;;
 Santa Catarina;Avaí;Vice-campeão do Estadual 2017;;;;;;;;;;;Chapecoense;Vice-campeão do Estadual 2018;;;;;;;;;;;;;;;;;;;;
;Criciúma;3º colocado do Estadual 2017;;;;;;;;;;;Tubarão;3º colocado do Estadual 2018;;;;;;;;;;;;;;;;;;;;
;Brusque;4º colocado do Estadual 2017;;;;;;;;;;;Brusque;Campeão da Copa Santa Catarina de 2018;;;;;;;;;;;;;;;;;;;;
;Tubarão;Campeão da Copa Santa Catarina 2017;;;;;;;;;; São Paulo;Corinthians;Campeão do Estadual 2018;;;;;;;;;;;;;;;;;;;;
